Word,Occurrences
history,38834
of,396514
present,24959
illness,16792
mr,10825
known,19881
lastname,12718
is,184449
a,205305
m,10863
w,21030
hepc,129
cirrhosis,5215
c,28802
b,11019
grade,3709
i,7102
ii,2788
esophageal,2537
varices,2942
and,486163
portal,4183
gastropathy,643
last,47938
egd,7174
who,17506
p,29291
coffee,1248
ground,2769
emesis,2166
melena,2903
x,26781
days,20993
pt,85340
was,404803
in,210210
his,88661
usoh,352
until,7430
about,4370
pta,713
when,12568
he,143239
began,3808
experiencing,477
intermittent,2760
nausea,9083
had,64418
episodes,5926
episode,5473
tarry,350
black,1656
stool,6509
the,536090
morning,5273
admission,51577
reports,7439
some,11073
lightheadedness,1579
which,46272
not,59161
new,13207
but,51216
denies,16271
frank,634
hematemesis,1744
brbpr,2196
abdominal,17745
pain,47967
fever,10201
chills,5537
significant,11852
increases,230
girth,166
drinking,907
or,68403
medication,3875
non,11259
compliance,1135
also,33048
taking,3497
naproxen,174
for,184006
back,11641
times,6110
day,40477
recent,15397
past,23556
ed,20561
vitals,3583
were,64861
on,257606
ra,6497
given,44952
l,26046
ns,4160
iv,26204
protonix,2954
mg,136144
started,33027
an,46838
octreotide,1240
drip,5303
guaiac,2205
positive,12276
brown,969
rectal,2337
exam,9127
seen,40612
by,54656
liver,13610
fellow,552
felt,11289
this,60792
unlikely,1856
variceal,617
bleed,10648
recommended,10340
work,4977
up,27118
infection,13840
ng,3956
tube,15921
attempted,1639
however,15990
patient,118594
unable,4404
to,380285
tolerate,1753
it,19253
ultrasound,5742
done,6751
showed,26988
patent,4659
vein,7386
scant,251
ascites,5916
enough,588
tap,530
bp,12040
dropped,2469
transferred,20937
micu,12171
hemodynamic,1197
monitoring,4721
prbc,3610
hct,52149
bumped,325
from,55202
norepinephrine,403
gtt,6397
few,5705
hours,10390
stabilized,2324
transfer,10917
floor,16326
remains,2547
hemodynamically,3802
stable,30322
feels,1416
good,7411
bloody,2024
bms,905
medical,23293
historypertinent,15293
results,20352
labs,14549
pm,97442
blood,175064
wbc,42407
rbc,34836
hgb,32526
mcv,30707
mch,29743
mchc,29700
rdw,29980
plt,37274
ct,68081
neuts,9545
lymphs,10429
monos,10369
eos,9962
baso,6029
ptt,17686
inr,28366
glucose,35429
urean,22770
creat,29533
na,26620
k,30900
cl,24768
hco,22843
angap,21048
alt,14070
ast,14101
ld,6857
ldh,7789
alkphos,9335
totbili,9553
calcium,19055
phos,16069
discharge,60769
am,119049
other,14137
ck,19491
mb,12291
ctropnt,10452
indx,2161
lipase,4732
urine,28582
color,6090
yellow,2208
appear,7401
clear,9085
sp,3587
name,72823
un,16049
lg,1141
nitrite,3752
neg,35590
protein,4650
ketone,3671
bilirub,1570
urobiln,1567
ph,10063
leuks,1701
bacteri,1219
none,5545
yeast,4720
epi,3418
microbiology,1595
cultures,11040
negative,37630
h,21094
pylori,1078
serum,1728
antibody,1637
cardiology,3728
tte,4848
conclusions,1673
left,85509
atrium,10137
dilated,11470
ventricular,29134
wall,18688
thicknesses,1677
cavity,8837
size,18195
are,57658
normal,57085
systolic,20581
function,15181
hyperdynamic,749
ef,5951
right,69040
chamber,5209
free,12863
motion,8581
aortic,32122
valve,33759
leaflets,14044
mildly,16247
thickened,10767
stenosis,12913
no,138124
regurgitation,17634
mitral,22852
mild,28337
there,68353
moderate,19136
pulmonary,28082
artery,19255
hypertension,14365
pericardial,10489
effusion,22095
impression,20334
lv,3310
ekg,8134
sinus,11543
rhythm,5746
prolonged,2151
qt,900
interval,5979
nonspecific,1167
clinical,6105
correlation,1932
suggested,2129
previous,8152
tracing,3024
available,1943
comparison,4071
intervals,1004
axes,491
rate,6806
pr,1844
qrs,1748
qtc,1066
t,16209
gi,13026
at,89755
lower,17580
third,2558
esophagus,2578
middle,2198
erythema,1891
erosion,383
antrum,782
pylorus,205
compatible,2053
with,281709
steroidal,7
induced,1581
gastritis,1756
bleeding,14862
pyloric,348
ulcer,4065
injection,1274
thermal,153
therapy,8363
mucosa,1722
duodenum,2984
otherwise,5539
part,2368
radiology,2851
cxr,19710
prominent,2620
bulge,177
heart,12065
border,202
could,10620
be,66711
due,25846
cyst,1795
enlarged,2936
mediastinal,3567
vascular,5992
engorgement,397
suggest,2661
cardiac,16061
tamponade,1922
vasculature,1115
lungs,3508
pleural,19588
overall,5597
jugular,1362
line,10550
ends,534
junction,1873
brachiocephalic,441
veins,2837
pneumothorax,5471
abd,6014
u,12633
s,75630
son,2585
ni,9685
evidence,26102
venous,4068
thrombosis,3022
flow,5771
hepatopetal,256
sliver,11
perihepatic,509
persistent,4917
coarsened,115
echotexture,286
consistent,13847
splenomegaly,1161
brief,17159
hospitalhospital,15293
course,35524
hcv,1850
admitted,16108
concerning,5567
ugib,732
stay,6862
hypotension,11774
did,19482
have,36612
any,14474
more,11180
bleeds,452
while,12385
hospital,65762
revealed,8784
remember,242
increased,16843
doses,2930
backache,3
pantoprazole,2218
po,56158
bid,7674
one,18905
week,8064
repeat,9802
endoscopy,1828
scheduled,2451
take,2968
tylenol,3548
max,449
daily,55161
dose,14151
gm,1608
instead,611
nsaids,581
